,Country,Year,Unemployment Rate
531,Costa Rica,2002,6.33
532,Costa Rica,2003,6.56
533,Costa Rica,2004,6.39
534,Costa Rica,2005,6.57
535,Costa Rica,2006,5.74
536,Costa Rica,2007,4.49
537,Costa Rica,2008,4.78
538,Costa Rica,2009,7.71
539,Costa Rica,2010,7.17
540,Costa Rica,2011,10.14
541,Costa Rica,2012,9.78
542,Costa Rica,2013,8.77
543,Costa Rica,2014,9.06
544,Costa Rica,2015,9
545,Costa Rica,2016,8.6
546,Croatia,1991,11.14
547,Croatia,1992,11.01
548,Croatia,1993,10.68
549,Croatia,1994,10.63
550,Croatia,1995,10.17
551,Croatia,1996,9.68
552,Croatia,1997,9.71
553,Croatia,1998,11.39
554,Croatia,1999,13.56
555,Croatia,2000,16.06
556,Croatia,2001,15.82
557,Croatia,2002,15.05
558,Croatia,2003,13.92
559,Croatia,2004,13.66
560,Croatia,2005,12.6
561,Croatia,2006,11.13
562,Croatia,2007,9.91
563,Croatia,2008,8.53
564,Croatia,2009,9.2
565,Croatia,2010,11.62
566,Croatia,2011,13.68
567,Croatia,2012,15.93
568,Croatia,2013,17.25
569,Croatia,2014,17.29
570,Croatia,2015,16.18
571,Croatia,2016,13.1
572,Cuba,1991,7.9
573,Cuba,1992,8.06
574,Cuba,1993,8.28
575,Cuba,1994,8.14
576,Cuba,1995,8.27
577,Cuba,1996,7.61
578,Cuba,1997,7.1
579,Cuba,1998,6.23
580,Cuba,1999,6.26
581,Cuba,2000,5.45
582,Cuba,2001,4.08
583,Cuba,2002,3.31
584,Cuba,2003,2.33
585,Cuba,2004,1.85
586,Cuba,2005,1.95
587,Cuba,2006,1.91
588,Cuba,2007,1.79
589,Cuba,2008,1.58
590,Cuba,2009,1.67
591,Cuba,2010,2.5
592,Cuba,2011,3.18
593,Cuba,2012,3.46
594,Cuba,2013,3.29
595,Cuba,2014,2.7
596,Cuba,2015,2.4
597,Cuba,2016,2
598,Cyprus,1991,3
599,Cyprus,1992,2.09
600,Cyprus,1993,2.7
601,Cyprus,1994,2.7
602,Cyprus,1995,2.6
603,Cyprus,1996,3.1
604,Cyprus,1997,3.4
605,Cyprus,1998,3.3
606,Cyprus,1999,5.7
607,Cyprus,2000,4.97
608,Cyprus,2001,3.98
609,Cyprus,2002,3.3
610,Cyprus,2003,4.14
611,Cyprus,2004,4.33
612,Cyprus,2005,5.3
613,Cyprus,2006,4.54
614,Cyprus,2007,3.92
615,Cyprus,2008,3.65
616,Cyprus,2009,5.36
